Organism group,Isolation_source,Isolation_source_1,Isolation type,Strain,Scientific name,Level,Assembly,Contigs,Collection date,Source type,Location,Host,Species TaxID,TaxID,Create date,Isolate identifiers,Host disease,Virulence genotypes,BioProject,K-mer group,Food origin
Acinetobacter baumannii,blood,blood,clinical,B8342,Acinetobacter baumannii,Complete Genome,GCA_001077555.2,1,2014/3/15,,India: Vellore,Homo sapiens,470,470,2017-05-23T14:55:09Z,"""B8342""",Bacteremia,,PRJNA286787,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,Ab04-mff,Acinetobacter baumannii,Complete Genome,GCA_001077655.1,3,2012,,Canada: Edmonton,Homo sapiens,470,470,2015-07-14T16:51:11Z,"""Ab04-mff"",""Acinetobacter baumannii Ab04-mff""",sepsis,,PRJNA288605,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,B8300,Acinetobacter baumannii,Complete Genome,GCA_001077965.2,2,2015/3/15,,India: Vellore,Homo sapiens,470,470,2017-05-31T18:57:05Z,"""B8300"",""B8300R""",bacteremia,,PRJNA286871,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,ATCC 17978-VU,Acinetobacter baumannii,Complete Genome,GCA_001593425.2,1,,,not collected,Homo sapiens,470,470,2016-12-19T19:00:17Z,"""ATCC 17978"",""ATCC 17978-VU"",""ATCC:17978"",""SRS1166156""",Nosocomial infection,,PRJNA302452,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,SSA3,Acinetobacter nosocomialis,Complete Genome,GCA_002082665.1,2,13-Sep,,South Korea: Seoul,Homo sapiens,106654,106654,2017-04-10T14:57:27Z,"""SSA3""",not collected,,PRJNA380857,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,SAA14,Acinetobacter baumannii,Complete Genome,GCA_002082845.1,1,13-Sep,,South Korea: Seoul,Homo sapiens,470,470,2017-04-10T15:05:17Z,"""SAA14""",not collected,,PRJNA380857,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,SSA12,Acinetobacter baumannii,Complete Genome,GCA_002082865.1,3,13-Sep,,South Korea: Seoul,Homo sapiens,470,470,2017-04-10T15:06:07Z,"""SSA12""",not collected,,PRJNA380857,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,7847,Acinetobacter baumannii,Complete Genome,GCA_003516005.1,3,2008/4/28,,"Mexico: Monterrey, Nuevo Leon",Homo sapiens,470,470,2018-09-10T12:52:07Z,"""7847""",A. baumannii bacteremia,,PRJNA311558,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,9201,Acinetobacter baumannii,Complete Genome,GCA_003522665.1,2,13-Aug,,Mexico: Guadalajara,Homo sapiens,470,470,2018-09-10T14:53:07Z,"""9201"",""Acinetobacter baumannii 9201""",Acinetobacter infection,,PRJNA311558,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,XH906,Acinetobacter baumannii,Complete Genome,GCA_003591615.1,1,2016,,China:Zhejiang,Homo sapiens,470,470,2018-09-24T15:51:15Z,"""XH906""",,,PRJNA400841,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,TG29392,Acinetobacter baumannii,Complete Genome,GCA_003949725.2,4,2012/3/6,,USA: Arizona,Homo sapiens,470,470,2019-05-09T14:51:08Z,"""SRS3954058"",""TG29392""",,,PRJNA497581,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,KAN02,Acinetobacter nosocomialis,Complete Genome,GCA_004295305.1,1,2015/2/27,,South Korea:Jeonju,Homo sapiens,106654,106654,2019-02-25T13:51:07Z,"""Acinetobacter nosocomialis strain KAN02"",""KAN02""",,,PRJNA522344,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,CIAT758,Acinetobacter baumannii,Complete Genome,GCA_004758865.1,4,2018,,India,Homo sapiens,470,470,2019-04-09T15:00:16Z,"""CIAT758"",""Carbapenem resistant Acinetobacter baumannii_CIAT758_hybrid assembly""",Bacteremia,,PRJNA530138,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,ACN21,Acinetobacter baumannii,Complete Genome,GCA_004768705.1,9,2018,,India,Homosapiens,470,470,2019-04-10T13:41:12Z,"""ACN21"",""Carbapenem resistant Acinetobacter baumannii_ACN21_hybrid assembly""",Bacteremia,,PRJNA530330,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,VB16141,Acinetobacter baumannii,Complete Genome,GCA_005280435.1,3,2019,,India,Homo sapiens,470,470,2019-05-11T13:54:12Z,"""Colistin resistant Acinetobacter baumannii_VB16141_hybrid assembly"",""VB16141""",Sepsis,,PRJNA540767,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,VB33071,Acinetobacter baumannii,Complete Genome,GCA_005280695.1,3,2018,,India,Homosapiens,470,470,2019-05-12T11:54:07Z,"""Carbapenem resistant Acinetobacter baumannii_VB33071_hybrid assembly"",""VB33071""",Sepsis,,PRJNA541078,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,AC1530,Acinetobacter nosocomialis,Complete Genome,GCA_009588945.1,2,2015,,Malaysia,Homo sapiens,106654,106654,2019-11-05T23:12:56Z,"""AC1530""","Infections, nosocomial",,PRJNA576555,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,Ab-C102,Acinetobacter baumannii,Complete Genome,GCA_012931605.1,4,16-Jan,,Ghana: Sekondi-Takoradi,Homo sapiens,470,470,2020-04-29T11:56:16Z,"""Ab-C102""",,,PRJNA473419,PDG000000010.1664,
Acinetobacter baumannii,blood,blood,clinical,VB82,Acinetobacter baumannii,Complete Genome,GCA_012934905.1,3,2019,,India,Homo sapiens,470,470,2020-04-30T20:53:11Z,"""Carbapenem Resistant Acinetobacter baumannii"",""VB82""",Bloodstream infection,,PRJNA613562,PDG000000010.1664,
Aeromonas hydrophila,blood,blood,clinical,71317,Aeromonas hydrophila,Complete Genome,GCA_020405385.1,1,2020/6/5,,China:Ningbo,Homo sapiens,644,644,2021-10-10T12:01:07Z,"""71317""",cholecystitis,,PRJNA759416,PDG000000068.234,
Aeromonas veronii,blood,blood,clinical,183026,Aeromonas veronii,Complete Genome,GCA_023921405.1,1,2019,,China: Hebei,Homo sapiens,654,654,2022-06-27T12:23:15Z,"""183026""",Leukemia,,PRJNA717373,PDG000000076.135,
Bacillus cereus group,blood,blood,clinical,FDAARGOS_235,Bacillus sp. FDAARGOS_235,Complete Genome,GCA_002073415.2,4,2014/9/15,,USA:DC,Homo sapiens,1839798,1839798,2018-03-02T20:45:05Z,"""FDA:FDAARGOS_235"",""FDAARGOS_235"",""SRS1666084""",CVL infection,"bpsC=COMPLETE,cerA=COMPLETE,entFM=COMPLETE,hblB=COMPLETE,hblC=COMPLETE,hblD=COMPLETE,inhA1=COMPLETE,inhA2=COMPLETE,nheA=COMPLETE,nheB=COMPLETE,nheC=COMPLETE,sph=MISTRANSLATION",PRJNA231221,PDG000000088.568,
Bacillus cereus group,blood,blood,clinical,03BB102,Bacillus cereus,Complete Genome,GCA_049904065.1,2,2003,,"USA: TX, San Antonio",Homo sapiens,1396,1396,2025-04-24T15:25:20Z,"""03BB102"",""Bacillus cereus 03BB102"",""SRS12329748""",pneumonia,"alo=COMPLETE,atxA=COMPLETE,bpsC=COMPLETE,capA=COMPLETE,capB=PARTIAL,capC=COMPLETE,capD=COMPLETE,capE=COMPLETE,cerA=COMPLETE,cya=COMPLETE,entFM=COMPLETE,hasA=COMPLETE,hlyII=COMPLETE,hlyIIR=COMPLETE,inhA1=COMPLETE,inhA2=COMPLETE,lef=COMPLETE,nheA=COMPLETE,nheB=COMPLETE,nheC=COMPLETE,pagA=COMPLETE,plcA=COMPLETE,sph=COMPLETE",PRJNA818268,PDG000000088.568,
Burkholderia cepacia complex,blood,blood,clinical,A05,Burkholderia lata,Complete Genome,GCA_003711145.1,3,2016/5/7,,Australia: Adelaide,Homo sapiens,482957,482957,2018-11-05T13:12:07Z,"""A05""",cepacia syndrome,,PRJNA419071,PDG000000094.178,
Burkholderia cepacia complex,blood,blood,clinical,toggle2,Burkholderia cenocepacia,Complete Genome,GCA_018223765.1,5,2018/2/2,,Taiwan,Homo sapiens,95486,95486,2021-05-02T12:54:09Z,"""toggle2""",,,PRJNA724802,PDG000000094.178,
Burkholderia cepacia complex,blood,blood,clinical,toggle1,Burkholderia contaminans,Complete Genome,GCA_018223785.1,6,2018/1/23,,Taiwan,Homo sapiens,488447,488447,2021-05-02T12:55:10Z,"""toggle1""",,,PRJNA724803,PDG000000094.178,
Burkholderia cepacia complex,blood,blood,clinical,toggle4,Burkholderia cenocepacia,Complete Genome,GCA_018223805.1,3,2018/8/3,,Taiwan,Homo sapiens,95486,95486,2021-05-02T12:55:19Z,"""toggle4""",,,PRJNA724802,PDG000000094.178,
Burkholderia cepacia complex,blood,blood,clinical,toggle3,Burkholderia cenocepacia,Complete Genome,GCA_018228625.1,6,2018/2/22,,Taiwan,Homo sapiens,95486,95486,2021-05-03T11:56:08Z,"""toggle3""",,,PRJNA724802,PDG000000094.178,
Burkholderia cepacia complex,blood,blood,clinical,BC00107,Burkholderia sola,Complete Genome,GCA_053038975.1,3,2025,,USA: Pittsburgh,Homo sapiens,2843302,2843302,2025-10-09T12:05:24Z,"""BC00107"",""SRS25118915""",not collected,,PRJNA475751,PDG000000094.178,
Campylobacter jejuni,blood,blood,clinical,CJ677CC002,Campylobacter jejuni,Complete Genome,GCA_001506205.1,1,2005,,Finland,Homo sapiens,197,197,2016-01-07T19:52:04Z,"""CJ677CC002""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC073,Campylobacter jejuni,Complete Genome,GCA_001506265.1,1,1999,,Finland,Homo sapiens,197,197,2016-01-07T19:53:12Z,"""CJ677CC073""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC036,Campylobacter jejuni,Complete Genome,GCA_001506345.1,1,2004,,Finland,Homo sapiens,197,197,2016-01-07T19:55:05Z,"""CJ677CC036""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC016,Campylobacter jejuni,Complete Genome,GCA_001506385.1,1,2000,,Finland,Homo sapiens,197,197,2016-01-07T19:55:15Z,"""CJ677CC016""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC041,Campylobacter jejuni,Complete Genome,GCA_001506405.1,1,2001,,Finland,Homo sapiens,197,197,2016-01-07T19:56:05Z,"""CJ677CC041""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC092,Campylobacter jejuni,Complete Genome,GCA_001506445.1,1,2004,,Finland,Homo sapiens,197,197,2016-01-07T19:57:05Z,"""CJ677CC092""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC062,Campylobacter jejuni,Complete Genome,GCA_001506545.1,1,2004,,Finland,Homo sapiens,197,197,2016-01-07T19:59:06Z,"""CJ677CC062""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC059,Campylobacter jejuni,Complete Genome,GCA_001506565.1,1,2004,,Finland,Homo sapiens,197,197,2016-01-07T19:59:09Z,"""CJ677CC059""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC032,Campylobacter jejuni,Complete Genome,GCA_001506585.1,1,2001,,Finland,Homo sapiens,197,197,2016-01-07T20:00:05Z,"""CJ677CC032""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC033,Campylobacter jejuni,Complete Genome,GCA_001506605.1,1,2002,,Finland,Homo sapiens,197,197,2016-01-07T20:00:09Z,"""CJ677CC033""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC014,Campylobacter jejuni,Complete Genome,GCA_001506725.1,1,1999,,Finland,Homo sapiens,197,197,2016-01-07T20:03:03Z,"""CJ677CC014""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC039,Campylobacter jejuni,Complete Genome,GCA_001506745.1,1,2001,,Finland,Homo sapiens,197,197,2016-01-07T20:04:07Z,"""CJ677CC039""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC085,Campylobacter jejuni,Complete Genome,GCA_001506765.1,1,1998,,Finland,Homo sapiens,197,197,2016-01-07T20:04:10Z,"""CJ677CC085""",,,PRJNA268846,PDG000000003.2614,
Campylobacter jejuni,blood,blood,clinical,CJ677CC052,Campylobacter jejuni,Complete Genome,GCA_001506785.1,1,2007,,Finland,Homo sapiens,197,197,2016-01-07T20:04:12Z,"""CJ677CC052""",,,PRJNA268846,PDG000000003.2614,
Candidozyma auris,blood,blood,clinical,B11245,Candidozyma auris,Complete Genome,GCA_008275145.1,7,2012,,Venezuela,Homo sapiens,498019,498019,2019-09-05T12:20:20Z,"""B11245"",""CDC_B11245"",""SRS1558427""",not collected,,PRJNA328792,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,FG_GE1,Candidozyma auris,Complete Genome,GCA_014673535.1,8,2019/7/20,,Italy: Genoa,Homo sapiens,498019,498019,2020-09-21T16:57:02Z,"""FG_GE01"",""FG_GE1"",""SRS7388889""",Bloodstream infection,,PRJNA655187,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,B13916,Candidozyma auris,Complete Genome,GCA_016772235.1,7,2017/9/11,,United Arab Emirates,Homo sapiens,498019,498019,2021-01-29T16:54:51Z,"""B13916"",""SRS5663011""",Candidemia,,PRJNA328792,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,,Candidozyma auris,Complete Genome,GCA_019039235.1,7,2021/2/15,,Lebanon: Beirut,Homo sapiens,498019,498019,2021-06-27T11:51:08Z,"""CA29LBN""",Candidemia,,PRJNA736600,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,,Candidozyma auris,Complete Genome,GCA_019039315.1,7,2021/2/15,,Lebanon: Beirut,Homo sapiens,498019,498019,2021-06-27T11:52:36Z,"""CA28LBN""",Candidemia,,PRJNA736600,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,,Candidozyma auris,Complete Genome,GCA_019039555.1,7,2021/1/10,,Lebanon: Beirut,Homo sapiens,498019,498019,2021-06-27T11:56:08Z,"""CA18LBN""",Candidemia,,PRJNA736600,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,,Candidozyma auris,Complete Genome,GCA_019039595.1,7,2020/12/7,,Lebanon: Beirut,Homo sapiens,498019,498019,2021-06-27T11:56:37Z,"""CA1LBN""",Candidemia,,PRJNA736600,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,B11221,Candidozyma auris,Complete Genome,GCA_031357565.2,8,2012,,South Africa,Homo sapiens,498019,498019,2024-02-02T13:43:42Z,"""B11221"",""IITD_B11221"",""SRS18809246""",,,PRJNA976506,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,B11244,Candidozyma auris,Complete Genome,GCA_031357835.2,8,2012,,Venezuela,Homo sapiens,498019,498019,2024-02-02T13:42:58Z,"""B11244"",""IITD_B11244"",""SRS18809245""",,,PRJNA976506,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,AR0387,Candidozyma auris,Complete Genome,GCA_053008035.1,8,2008,,Pakistan,Homo sapiens,498019,498019,2025-10-07T12:08:31Z,"""2MG-A0304-36"",""AR0387"",""CDC:AR0387"",""SRS18527991""",,,PRJNA1002224,PDG000000067.490,
Candidozyma auris,blood,blood,clinical,AR0383,Candidozyma auris,Complete Genome,GCA_053008025.1,8,2012,,South Africa,Homo sapiens,498019,498019,2025-10-07T12:08:43Z,"""2MG-A0304-32"",""AR0383"",""CDC:AR0383"",""SRS18527969""",,,PRJNA1002224,PDG000000067.490,
Citrobacter freundii,blood,blood,clinical,FDAARGOS_290,Citrobacter braakii,Complete Genome,GCA_002208845.2,1,2014/5/21,,USA:DC,Homo sapiens,57706,57706,2018-03-07T21:22:40Z,"""FDA:FDAARGOS_290"",""FDAARGOS_290"",""SRS2098862""",,,PRJNA231221,PDG000000039.1101,
Citrobacter freundii,blood,blood,clinical,CFA1707,Citrobacter freundii,Complete Genome,GCA_026240875.1,9,2017/7/28,,China,Homo sapiens,546,546,2022-11-20T14:58:11Z,"""CFA1707""",Bloodstream infection,sinH=HMM,PRJNA900549,PDG000000039.1101,
Citrobacter freundii,blood,blood,clinical,202212,Citrobacter freundii,Complete Genome,GCA_032375065.1,4,2022/11/16,,China: Zhengzhou,Homo sapiens,546,546,2023-10-05T12:07:18Z,"""202212"",""C. freundii KPC-NDM-homo-202212-wxk""",,sinH=HMM,PRJNA1021345,PDG000000039.1101,
Cronobacter,blood,blood,clinical,5563_17,Cronobacter sakazakii,Complete Genome,GCA_013425995.1,1,2017/7/3,,Poland:Wrocaw,Homo sapiens,28141,28141,2020-07-20T12:15:46Z,"""5563_17"",""NMI5563_17""",brain abscess,,PRJNA645121,PDG000000043.391,
Cronobacter,blood,blood,clinical,LMG23827,Cronobacter turicensis,Complete Genome,GCA_041222865.1,3,2005,human,Switzerland,,413502,413502,2024-08-13T01:08:40Z,"""LMG23827""",,,PRJNA1128737,PDG000000043.391,
E.coli and Shigella,blood,blood,clinical,H1827/12,Escherichia coli,Complete Genome,GCA_001678925.1,1,,,,Homo sapiens,562,562,2016-07-05T11:52:16Z,"""H1827/12""",bacteremia,"fdeC=MISTRANSLATION,iss=COMPLETE,sslE=HMM",PRJNA286318,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,Z1002,Escherichia coli,Complete Genome,GCA_002142675.1,5,2014/9/6,,China:Jining,Homo sapiens,562,562,2017-05-16T17:54:05Z,"""Escherichia coli strain Z1002"",""Z1002""",bloodstream infection,"air=COMPLETE,eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,papA=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE",PRJNA386069,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,strain Z247,Escherichia coli,Complete Genome,GCA_002142715.1,4,2015/9/11,,China:Hefei,Homo sapiens,562,562,2017-05-16T17:55:13Z,"""Escherichia coli strain Z247"",""strain Z247""",bloodstream infection,"cnf1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,ibeA=COMPLETE,iss=COMPLETE,papA=COMPLETE,papC=COMPLETE,papG-III=COMPLETE,papH=COMPLETE,sinH=HMM,sslE=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE",PRJNA386074,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,KBN10P04869,Escherichia coli,Complete Genome,GCA_002953455.1,4,2017/3/28,,South Korea: Daegu,Homo sapiens,562,562,2018-02-27T10:25:08Z,"""Escherichia coli KBN10P04869"",""KBN10P04869"",""SRS2866573""",,"espX1=PARTIAL,fdeC=COMPLETE,lpfA-O113=PARTIAL,ybtP=COMPLETE,ybtQ=COMPLETE",PRJNA430286,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,ESY001,Escherichia coli,Complete Genome,GCA_002967935.2,2,2014,,China: Shenyang,Homo sapiens,562,562,2021-11-16T15:58:28Z,"""ESY001""",,"capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,sslE=HMM",PRJNA433600,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,ESY002,Escherichia coli,Complete Genome,GCA_002967975.2,2,2014,,China: Shenyang,Homo sapiens,562,562,2021-11-16T15:58:14Z,"""ESY002""",,"capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,sslE=HMM",PRJNA433600,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,219,Escherichia coli,Complete Genome,GCA_003031775.1,2,2016,human,USA:Boston,Homo sapiens,562,562,2018-04-03T17:30:31Z,"""0000-0058-7850"",""219"",""SRS1476331""",,"astA=COMPLETE,capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE",PRJNA278886,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,EC17GD31,Escherichia coli,Complete Genome,GCA_003991155.1,5,2017/3/20,,Viet Nam: Ho Chi Minh city,Homo sapiens,562,562,2019-01-03T13:53:09Z,"""EC17GD31"",""PIMB17GD31""","Pneumonia, acute kidney injury, cerebral infarction","cvaC=PARTIAL,eilA=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,papA=COMPLETE,papC=COMPLETE,papE=COMPLETE,papF=COMPLETE,papG-III=COMPLETE,sinH=HMM,sslE=HMM",PRJNA482900,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,B36,Escherichia coli,Complete Genome,GCA_900622635.1,3,,,Australia,Homo sapiens,562,562,2019-02-06T22:35:06Z,"""102.100.100.25765"",""B36"",""ERS2912826""",,"afaC=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,nfaE=COMPLETE,papA=PARTIAL,sat=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE",PRJEB29930,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,MS14385,Escherichia coli,Complete Genome,GCA_900622655.1,7,,,Australia,Homo sapiens,562,562,2019-02-06T22:35:12Z,"""102.100.100.25767"",""ERS2912827"",""MS14385""",,"eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE",PRJEB29930,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,MS14386,Escherichia coli,Complete Genome,GCA_900622665.1,3,,,Australia,Homo sapiens,562,562,2019-02-06T22:35:16Z,"""102.100.100.25768"",""ERS2912828"",""MS14386""",,"espX1=PARTIAL,fdeC=COMPLETE,lpfA-O113=MISTRANSLATION,sslE=HMM",PRJEB29930,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,MS14384,Escherichia coli,Complete Genome,GCA_900622695.1,2,,,,Homo sapiens,562,562,2019-02-06T22:36:06Z,"""102.100.100.25766"",""ERS2912829"",""MS14384""",,"air=COMPLETE,eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,senB=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE",PRJEB29930,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,MS14387,Escherichia coli,Complete Genome,GCA_900622685.1,3,2009/9/3,,Australia,Homo sapiens,562,562,2019-02-06T22:36:11Z,"""102.100.100.25769"",""ERS2912830"",""MS14387""",,"air=COMPLETE,eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,papH=COMPLETE,sat=COMPLETE,senB=COMPLETE,sinH=HMM,ybtP=COMPLETE,ybtQ=COMPLETE",PRJEB29930,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,BA22372,Escherichia coli,Complete Genome,GCA_005671355.1,3,2016,,India: Vellore,Homo sapiens,562,562,2019-05-23T11:52:18Z,"""BA22372""",Blood stream infection,"espX1=PARTIAL,fdeC=COMPLETE,lpfA-O113=PARTIAL",PRJNA543199,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,K71-77,Escherichia coli,Complete Genome,GCA_006337025.1,3,2010,,Norway,Homo sapiens,562,562,2019-06-13T11:52:05Z,"""K71-77"",""SRS1120700""",,"cnf1=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,papA=COMPLETE,papC=COMPLETE,papE=COMPLETE,papF=COMPLETE,papG-III=COMPLETE,papH=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE",PRJNA547487,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,XDL,Escherichia coli,Complete Genome,GCA_008949495.1,6,2017/9/20,,China: Hangzhou,Homo sapiens,562,562,2019-10-10T16:21:18Z,"""XDL"",""XDL-yvys""",Bloodstream infections,"air=COMPLETE,eilA=COMPLETE,ibeA=COMPLETE,iha=COMPLETE,ireA=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,sinH=HMM,sslE=HMM",PRJNA512967,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,CCUG 73778,Escherichia coli,Complete Genome,GCA_009577985.1,7,2008/12/18,,Sweden:Gothenburg,Homo sapiens,562,562,2019-11-05T22:46:27Z,"""CCUG 73778"",""CCUG:73778"",""ESBL Escherichia coli CCUG 73778""",,"fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=PARTIAL,sat=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE",PRJNA305687,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,GZEC065,Escherichia coli,Complete Genome,GCA_010092405.1,4,2017,,China: Guangzhou,Homo sapiens,562,562,2020-02-01T13:54:07Z,"""Escherichia coli GZEC065"",""GZEC065""",,"astA=COMPLETE,cvaC=PARTIAL,espX1=COMPLETE,fdeC=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,sslE=HMM",PRJNA601848,PDG000000004.5599,
E.coli and Shigella,blood,blood,clinical,06-3538,Escherichia coli,Complete Genome,GCA_011068325.1,3,,,USA,,562,562,2020-03-09T11:55:09Z,"""06-3538"",""SRS2229213""",,"capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,papH=COMPLETE,papH=PARTIAL,sat=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE",PRJNA218110,PDG000000004.5599,
